"bond (i,j)",type,p_ij
"(1,2)",C–N,1.2933236501906034
"(2,3)",C–C,1.3551617164501186
"(3,4)",C–C,1.3210385922467638
"(4,5)",C–C,1.3210385922467638
"(5,6)",C–C,1.355161716450118
"(6,1)",C–N,1.2933236501906034
